finding_id,original_review,original_severity,title,affected_file,affected_slug,description,current_status,verification_evidence,final_disposition,final_severity,action_taken,reviewer,notes
M13,Review D,MEDIUM,"存在しない見出しを名指ししている。「[個別の教育支援計画・個別の指導計画の書き方：学校現場で使える基本ガイド](/articles/indi","content/articles/special-needs-parent-collaboration.md","special-needs-parent-collaboration","存在しない見出しを名指ししている。「[個別の教育支援計画・個別の指導計画の書き方：学校現場で使える基本ガイド](/articles/individual-education-plan-writing-guide)の『個人情報と共有範囲の注意点』に」と書かれているが、着地先の該当見出しは今回の改稿で「## この文書を、誰まで共有し・どう保管し・どう捨てるか」（individual-education-plan-writing-guide.md:301）へ改名され、旧見出し（main では「## 11. 個人情報と共有範囲の注意点」）は存在しない。",CLOSED,"parent-collaboration の当該参照は現行見出し「共有範囲・保管・廃棄をどう決めるか」へ差し替え済み（旧名の grep 0件）。",FIX_BEFORE_MERGE,MEDIUM,"改稿で消えた節名を指す参照を修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"298行目"
M14,Review D,MEDIUM,"同じく廃止済みの節を指している。「[個別の教育支援計画・個別の指導計画の書き方：学校現場で使える基本ガイド](/articles/indiv","content/articles/reasonable-accommodation-school-record.md","reasonable-accommodation-school-record","同じく廃止済みの節を指している。「[個別の教育支援計画・個別の指導計画の書き方：学校現場で使える基本ガイド](/articles/individual-education-plan-writing-guide)の個人情報と共有範囲の項に」とあるが、着地先にその名前の項は無い（現行は301行目「この文書を、誰まで共有し・どう保管し・どう捨てるか」）。鉤括弧が無いため機械検査をすり抜けている。",CLOSED,"reasonable-accommodation L176 の「個人情報と共有範囲の項」を「この文書を、誰まで共有し・どう保管し・どう捨てるか」へ差し替え（旧名 grep 0件）。",FIX_BEFORE_MERGE,MEDIUM,"鉤括弧が無く前回の機械検査をすり抜けていた同種の参照。本クロージャで修正",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"176行目"
M15,Review D,MEDIUM,"タイトルが本文の構成と description の両方と食い違っている。title は「学校の校務で生成AIを使う前の判断ガイド：5業務の使","content/articles/ai-koomu-kaizen-nyumon.md","ai-koomu-kaizen-nyumon","タイトルが本文の構成と description の両方と食い違っている。title は「学校の校務で生成AIを使う前の判断ガイド：5業務の使い分けと確認手順」だが、description は「5業務」に一切触れず「4つの校務ゲート」を主題として説明し、本文の最初の見出し（2行目）も「## 入力を始める前に決めるのは、この4つ」、主構成は「## 4つの校務ゲート」（21行目）。「5業務」に対応するのは184行目以降の1つの表だけで、しかも192行目で「以下の5つは例示です」と自ら例示にすぎないと断っている。この記事は今回3記事（generative-ai-guideline-v2-school-reading / school-generative-ai-privacy-security / ai-lesson-preparation-prompt）を統合した先で、本文は4ゲート構成へ作り直",CLOSED,"title を「4つの校務ゲートと判断シート」へ変更。これを引用していたアンカー6箇所も更新し、アンカー整合ゲートを追加した。",FIX_BEFORE_MERGE,MEDIUM,"title が本文構成とも description とも食い違っていた",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"2行目（title frontmatter）／本文 2, 21, 192行目"
M16,Review D,MEDIUM,"ドキュメントが指示する環境変数名とコードが読む名前が違う。lib/site.ts:8 は `process.env.NEXT_PUBLIC_",".env.example","","ドキュメントが指示する環境変数名とコードが読む名前が違う。lib/site.ts:8 は `process.env.NEXT_PUBLIC_SITE_URL` を読むが、.env.example と README.md:161 はどちらも `SITE_URL` としか書いていない。README の表に `NEXT_PUBLIC_SITE_URL` の記載は無い。指示どおり `SITE_URL` だけを Vercel に設定すると getSiteUrl() は必ず FALLBACK_URL（lib/site.ts:1 のハードコード `https://edu-ai-platform-delta.vercel.app`）へ落ちる。",CLOSED,".env.example を NEXT_PUBLIC_SITE_URL へ修正（lib/site.ts が読む名前と一致）。",FIX_BEFORE_MERGE,MEDIUM,"指示どおり設定すると動かない状態だった",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"3行目 `SITE_URL=https://your-domain.vercel.app`（同内容が README.md:161 の環境変数表にも記載）"
M17,Review D,MEDIUM,"README がサイトの実際のルート構成と矛盾している。185行目は `/db` を「教育情報DB一覧」として公開ルートに列挙しているが、実","README.md","","README がサイトの実際のルート構成と矛盾している。185行目は `/db` を「教育情報DB一覧」として公開ルートに列挙しているが、実測では `/db` は 404（`<meta name=""robots"" content=""noindex"">` 付き、app/db/page.tsx が notFound() を呼ぶだけ）。README はさらに 80/83/229行目で `content/db/` への JSON 追記手順、204-229行目で db-guide-template.md によるDB記事の作り方を現役の運用手順として説明し、content/templates/db-guide-template.md:100-101 は本文に `/db` へのリンクを2本置いている。lib/db.ts・lib/news.ts・content/db/・content/news-diges",CLOSED,"README のルート表から /db を外し、/about と /operator を追加。/db /news が 404 である旨の注記も追加。",FIX_BEFORE_MERGE,MEDIUM,"README が実際のルート構成と矛盾していた",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"185行目（ページ構成表の `| /db | 教育情報DB一覧 |`）／関連: 80, 83, 204-229, 270-275行目"
M18,Review C,MEDIUM,"「合理的配慮の定義や『過重な負担』の考え方は、障害者差別解消法と、文部科学省が所管事業分野について定める対応指針にあります」としている。(1","content/articles/special-needs-ict-reasonable-accommodation.md","special-needs-ict-reasonable-accommodation","「合理的配慮の定義や『過重な負担』の考え方は、障害者差別解消法と、文部科学省が所管事業分野について定める対応指針にあります」としている。(1) 障害者差別解消法は第7条第2項・第8条第2項で「その実施に伴う負担が過重でないとき」という文言を置くだけで、判断要素は定めていない。5つの判断要素を示しているのは内閣府の政府基本方針（およびそれを受けた対応指針・対応要領）である。(2) 対応指針は事業者向けであり、公立学校の教員が「一次資料のどこを開くか」の答えとして開く文書ではない（同法第2条第7号、第11条）。",CLOSED,"ict-reasonable L62 を「判断要素を示しているのは内閣府の基本方針」と明示する形へ書き直した。あわせて前回の修正で壊れていた括弧・文も修復。",FIX_BEFORE_MERGE,MEDIUM,"「過重な負担」の判断要素の出典を法に帰していた誤り",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"62行目「迷ったとき、一次資料のどこを開くか」"
M19,Review C,MEDIUM,"生成AIガイドラインVer.2.0の原文は「個別契約等に基づき適切なセキュリティ対策が講じられた環境で生成AIを運用しているような場合を除き","content/articles/ai-koomu-kaizen-nyumon.md","ai-koomu-kaizen-nyumon","生成AIガイドラインVer.2.0の原文は「個別契約等に基づき適切なセキュリティ対策が講じられた環境で生成AIを運用しているような場合を除き、プロンプトに重要性の高い情報である成績情報等を入力してはならない」（本体p.15）だが、62行目は「適切なセキュリティ対策が講じられた環境で運用している場合を除き」とし、**「個別契約等に基づき」を落としている**。64行目はこれを受けて例外条件を「適切なセキュリティ対策が講じられた環境で運用していること（環境の条件）」と定式化しており、原文が求めている「個別契約等に基づく」という限定が消えている。",CLOSED,"ガイドライン Ver.2.0 の引用に「個別契約等に基づき」を復元（2箇所）。",FIX_BEFORE_MERGE,MEDIUM,"原文の限定句を落とした引用は、条件を緩く見せるため危険",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"62行目・64行目（校務ゲート2）"
M20,Review C,MEDIUM,"「個人情報保護法は個人情報取扱事業者に対して、要配慮個人情報の取得にあたり原則としてあらかじめ本人の同意を得ることを求め（第20条第2項）、","content/articles/ai-koomu-kaizen-nyumon.md","ai-koomu-kaizen-nyumon","「個人情報保護法は個人情報取扱事業者に対して、要配慮個人情報の取得にあたり原則としてあらかじめ本人の同意を得ることを求め（第20条第2項）、…オプトアウトの対象からも外しています（第27条第2項）。通常の個人情報より一段強い同意の枠組みが置かれた類型だ、ということです。公立学校は行政機関等に当たるため、保有個人情報の目的外の利用・提供は第69条の枠組みで判断します」と続く。条番号自体はe-Gov本文と一致し正確だが、行政機関等（＝公立学校）に対しては要配慮個人情報の取得同意規定が存在しない（第5章の適正取得規定は第64条で「偽りその他不正の手段により個人情報を取得してはならない」のみ）。「一段強い同意の枠組み」は主たる読者である公立学校の教員には移転しない。ヘッジは「適用される条文は設置形態によって変わりますが」の一文だけで、何がどう変わるかを示していない。",CLOSED,"第20条第2項・第27条第2項が個人情報取扱事業者に適用される規定であり、公立学校（行政機関等）には適用されない旨（取得は第64条、目的外利用・提供は第69条）を明示した。",FIX_BEFORE_MERGE,MEDIUM,"主たる読者である公立学校教員に移転しない枠組みを、無条件に提示していた",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"80行目（校務ゲート2、要配慮個人情報の扱いを補う段落）"
M21,Review C,MEDIUM,"components/ArticleReferences.tsx は参考資料欄に「記事中の制度・方針・仕様に関する確認に使用した一次資料です","lib/article-references.ts","","components/ArticleReferences.tsx は参考資料欄に「記事中の制度・方針・仕様に関する確認に使用した一次資料です」と明記して表示する。しかし視覚支援記事に割り当てられている2件は、tsukyuGuide（確認対象＝実態把握、個別の計画、合理的配慮、校内外の連携）と behaviorResearch（確認対象＝行動観察、機能的アセスメント、ABC行動記録）であり、この記事の主題（スケジュール／手順表の形式選択、予定変更を同じ視覚的手段で伝え直す3点セット、終わりの示し方、見直し記録シート）のいずれも扱っていない。記事本文12行目は「運営者が…作成・見直した経験をもとに整理したもの」と自ら述べており、一次資料に依拠した記述ではないことを認めている。",CLOSED,"visual-schedule の冒頭に「手順そのものは特定の公的資料に定められたものではなく本サイトが実務から整理したもの。参考資料は実態把握や記録の考え方について確認した資料であり、視覚支援の作り方を定めた文書ではない」と明示した。",FIX_BEFORE_MERGE,MEDIUM,"資料を水増しせず、記事の根拠が何であるかを本文で正確に述べる方向で解決",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"356行目 'special-needs-visual-schedule-support': [sources.tsukyuGuide, sources.behaviorResearch]"
M22,Review C,MEDIUM,"本文末尾の「参考資料」が4件（障害のある子供の教育支援の手引／教育の情報化に関する手引／教科書デジタル化・学習者用デジタル教科書に関する通知","content/articles/special-needs-ict-support-tools-checklist.md","special-needs-ict-support-tools-checklist","本文末尾の「参考資料」が4件（障害のある子供の教育支援の手引／教育の情報化に関する手引／教科書デジタル化・学習者用デジタル教科書に関する通知および関連資料／内閣府 障害を理由とする差別の解消の推進に関する基本方針）を挙げるのに対し、ページ下部に自動表示される ARTICLE_REFERENCES は別の4件（StuDX Style 特別支援／文科省対応指針／1人1台端末の安全・安心な利活用／個別の教育支援計画の参考様式）で、両者に重複が1件もない。本文側にはURLも確認日もない。他の記事にある「各資料のリンクと確認日は、記事下部の参考資料欄に表示しています」の1行もこの記事だけ欠けている。",CLOSED,"support-tools の本文参考資料リストは削除済み（「教科書デジタル化」grep 0件）。コンポーネント側の4件のみが表示される。",SUPERSEDED_BY_HIGH_FIX,MEDIUM,"H9 と同一事象",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"266〜273行目「参考資料」／対応する lib/article-references.ts:342-347"
M23,Review C,MEDIUM,"個別の教育支援計画・個別の指導計画の正典記事でありながら、作成義務の法的根拠（学校教育法施行規則第134条の2、および特別支援学級への準用＝","content/articles/individual-education-plan-writing-guide.md","individual-education-plan-writing-guide","個別の教育支援計画・個別の指導計画の正典記事でありながら、作成義務の法的根拠（学校教育法施行規則第134条の2、および特別支援学級への準用＝第139条の2、通級による指導への準用＝第141条の2）に一切触れていない。「一次情報の当たり方」として挙がるのは手引・参考様式・学習指導要領解説・自治体手引の4つだけで、施行規則が入っていない。ARTICLE_REFERENCES も individualPlan と tsukyuGuide の2件のみで、同じファイル 127〜135 行に既に定義済みの sources.schoolEducationRule134（第134条の2・第139条の2・第141条の2、準用関係と「意向を踏まえつつ、あらかじめ」の文言まで supports に整理済み）が、なぜか保護者面談記事だけに割り当てられている。",CLOSED,"IEP 本文の「一次情報の当たり方」に施行規則第134条の2（第139条の2・第141条の2への準用を含む）を追加し、参考資料にも sources.schoolEducationRule134 を追加。",FIX_BEFORE_MERGE,MEDIUM,"計画の正典記事に作成義務の法的根拠が無かった",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"64〜73行目「様式が学校ごとに違っても迷わないために：一次情報の当たり方」／対応する lib/article-references.ts:338"
M24,Review C,MEDIUM,"「配慮と整理したなら個別の教育支援計画に、指導の手立てと整理したなら個別の指導計画に載る**という対応になります**」と、二者択一の対応関係","content/articles/special-needs-ict-reasonable-accommodation.md","special-needs-ict-reasonable-accommodation","「配慮と整理したなら個別の教育支援計画に、指導の手立てと整理したなら個別の指導計画に載る**という対応になります**」と、二者択一の対応関係を断定形で述べているが、出典が示されていない。この記事の ARTICLE_REFERENCES（lib/article-references.ts:341）は accommodationGuideline と specialNeedsIct の2件のみで、計画文書に関する一次資料（individualPlan、schoolEducationRule134）は割り当てられていない。また文部科学省・中教審の整理では、合意した合理的配慮の内容は個別の教育支援計画に明記したうえで個別の指導計画にも活用することが望ましいとされており、二者択一ではない。サイト内でも individual-education-plan-writing-guide.md:258-25",CLOSED,"M6 と同一箇所。断定を「基本です。ただし自校の様式で決まる」に緩め、確認先も示した。",SUPERSEDED_BY_HIGH_FIX,MEDIUM,"M6 の修正で解消",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"70行目「仕分けの結果が、書く場所を決める」"
L1,Review B,LOW,"同じ表の中で、「ログイン」の行は「児童生徒本人に1〜2分ログインだけ試してもらう（教員が代わりに確認することはできない）」と括弧書きで断定し","content/articles/giga-device-lesson-use-guide.md","giga-device-lesson-use-guide","同じ表の中で、「ログイン」の行は「児童生徒本人に1〜2分ログインだけ試してもらう（教員が代わりに確認することはできない）」と括弧書きで断定しているのに、2行下の「使用するURL」の行は「本人に開いてもらうか、教員用の検証アカウントがある場合はそれで確認する」と、教員側の検証手段を認めている。検証アカウントが配備されている自治体では、前者の断定が事実と合わない。",OPEN,"giga の授業前チェック表で、ログイン行と URL 行の検証手段の書き方が揃っていない点は現在も残る。",ACCEPTED_NONBLOCKING,LOW,"どちらの記述も安全側（本人に試してもらう／検証アカウントがあればそれで確認）であり、誤った運用を誘発しない。表現の揃えは次回の改善候補",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L24 と L28（授業前チェック表）"
L2,Review B,LOW,"この記事で唯一の記入様式だが、掲載されている表は見出し行＋選択肢を並べた1行だけで、書き込む空欄行がない（他の14記事の様式が空欄セルや記入","content/articles/chatgpt-tsuchihyo-shoken.md","chatgpt-tsuchihyo-shoken","この記事で唯一の記入様式だが、掲載されている表は見出し行＋選択肢を並べた1行だけで、書き込む空欄行がない（他の14記事の様式が空欄セルや記入例を持つのと形式が揃っていない）。また「③書けない理由」の選択肢が「時間／材料」の2値に固定されており、たとえば評価は定まっているが表現の選択に迷う、という第3の理由を書く場所がない。にもかかわらず L134 は「③が材料であれば判定は使わない」という分岐だけを定めているため、2値に収まらない子の判定が決まらない。",OPEN,"chatgpt の「① 誰に使うかの判定」表に空欄行が無い点は現在も残る。",ACCEPTED_NONBLOCKING,LOW,"選択肢を示す表として機能しており、読者は自分の名簿に書き写して使える。空欄行の追加は改善だが merge を止める欠陥ではない",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L126-134（「① 誰に使うかの判定」の表）"
L3,Review A,LOW,"この節（約56行、記事全体の約1/4）は Google 公式ヘルプの記載の近接した言い換えで構成されている。「公式ヘルプの記載」という列を持","content/articles/google-forms-school-use-guide.md","google-forms-school-use-guide","この節（約56行、記事全体の約1/4）は Google 公式ヘルプの記載の近接した言い換えで構成されている。「公式ヘルプの記載」という列を持つ表、「…と明記」「公式ヘルプは次のように説明しています」といった導入が並び、独自の判断はほぼ入らない。本文内の参考資料は Google ヘルプ7ページを英語タイトル＋「／ Google」で列挙するだけでURLが無い（URLはコンポーネント側にはある）。",OPEN,"google-forms の「公式ヘルプで確認した設定の挙動」節は現在も公式ヘルプの整理が中心。",ACCEPTED_NONBLOCKING,LOW,"当該節は確認日つきで一次情報を整理した部分であり、記事全体としては独自の依存関係整理と配布前設計シート（17項目3列）を所有している。Review A の post-fix 判定でも source-summary-only には該当しないと確認した",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L176-231（`## 公式ヘルプで確認した設定の挙動`）と L242-250（本文内 `## 参考資料`）"
L4,Review A,LOW,"15本のタイトルのうち13本は具体的な判断を名指ししている（「使う子・使わない子を分ける」「実機確認10項目と切り上げの基準」「避けたい書き","content/articles/individual-education-plan-writing-guide.md","individual-education-plan-writing-guide","15本のタイトルのうち13本は具体的な判断を名指ししている（「使う子・使わない子を分ける」「実機確認10項目と切り上げの基準」「避けたい書き方をよい書き方へ直す書き換え表」等）が、この2本だけが汎用の SEO タイトル型で終わっている：「…の書き方：学校現場で使える基本ガイド」「…の取り方：支援に生かす観察と記録の基本」。いずれも registry が独自価値として挙げているもの（引き継ぎテスト／評価テストの2判定、粒度を決める3基準）が題名に現れていない。加えて15本中14本が「主題：補足」というコロン構文で統一されている。",OPEN,"individual-education-plan と special-needs-behavior-record の2本は汎用的なタイトルのまま。",ACCEPTED_NONBLOCKING,LOW,"両記事とも本文と資産は具体的で、reader job も registry と一致している。タイトル変更はリタイトル起因のアンカー破損を再度招くため、今回のクロージャでは行わない",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"L2 title／content/articles/special-needs-behavior-record-guide.md:2 title"
L5,Review D,LOW,"自作様式の帰属表記が1記事だけ違う。他の公開記事では「（本サイト作成の参考様式）」という表記が12箇所で統一して使われているのに、ここだけ「","content/articles/individual-education-plan-writing-guide.md","individual-education-plan-writing-guide","自作様式の帰属表記が1記事だけ違う。他の公開記事では「（本サイト作成の参考様式）」という表記が12箇所で統一して使われているのに、ここだけ「（編集部作成）」。さらに app/operator/page.tsx は「個人運営のサイトです」と明記している一方、app/about/page.tsx:76 は「教育DXナビ編集部が編集しています」と書いており、サイト全体で運営主体の呼称が割れている。",CLOSED,"「編集部作成」の残存 0 件。",SUPERSEDED_BY_HIGH_FIX,LOW,"H8 と同一事象",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"494行目 `## 共有・引継ぎ前の確認チェックリスト（編集部作成）`"
L6,Review D,LOW,"公開記事0件のカテゴリの定義と説明文が旧positioningのまま残っている。'助成金・補助金'（「教育ICT関連の公募・補助制度。」）と","lib/categories.ts","","公開記事0件のカテゴリの定義と説明文が旧positioningのまま残っている。'助成金・補助金'（「教育ICT関連の公募・補助制度。」）と '研修・セミナー'（「教員向けの研修・スキルアップに関する記事。」）は、他4カテゴリが今回書き直された『何を決めるためのカテゴリか』という文体になっているのに対し、旧来の一覧メディア型の一文のまま。両カテゴリは公開記事0件のためページ生成も sitemap 掲載もされない（/categories/joseikin と /categories/kenshu は実測404）ので描画上の実害は無い。ただし app/disclaimer/page.tsx は28-31行目で「助成金・補助金の金額・申請期限・対象要件」「研修・セミナーの日程・受付状況」を掲載情報として免責の対象に挙げており、サイトに存在しない種類の情報を掲載しているかのように書いている。",CLOSED,"公開記事0件の2カテゴリの説明文を、他4カテゴリと同じ「何を決めるための区分か」の文体へ書き直し、公開記事が無い旨も明記した。",FIX_BEFORE_MERGE,LOW,"旧 positioning（一覧メディア型）の文言が残っていたため",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"29-30行目（CATEGORY_DESCRIPTIONS の '助成金・補助金' / '研修・セミナー'）／関連: app/disclaimer/page.tsx 28-31行目"
L7,Review D,LOW,"構造化データ（JSON-LD）がサイト内に1件も無い。`ld+json` / `schema.org` をリポジトリ全体で検索して0件。記事","app/articles/[slug]/page.tsx","","構造化データ（JSON-LD）がサイト内に1件も無い。`ld+json` / `schema.org` をリポジトリ全体で検索して0件。記事詳細に Article/BlogPosting も無く、パンくずを画面上は出している（74-84行目）のに BreadcrumbList も無い。運営者情報ページがあるのに Organization/Person も無い。",OPEN,"JSON-LD（Article / BreadcrumbList / Organization）はサイト内に0件のまま。",DEFERRED_POST_ADSENSE,LOW,"構造化データは検索表示の強化であり、AdSense の有用性判定の要件ではない。追加は機能追加にあたり、本クロージャの目的（現状の merge 可否の証明）から外れる。AdSense 通過後に別 PR で対応する",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"generateMetadata（19-47行目）／サイト全体"
L8,Review D,LOW,"末尾スラッシュ付きの旧URLが2ホップになる。実測で `/articles/kyoiku-dx-kiso/` は 308（Next の tr","middleware.ts","","末尾スラッシュ付きの旧URLが2ホップになる。実測で `/articles/kyoiku-dx-kiso/` は 308（Next の trailingSlash 正規化）→ 301（middleware）→ 200 という連鎖をたどる。matcher が `/articles/:slug` のみで、正規化前のパスを拾わないため。スラッシュ無しの10件はすべて 1ホップ 301 で公開記事に着地することを実測確認済み（chatgpt-teacher-beginner-guide, giga-school-device-troubleshooting, kyoiku-dx-kiso, microsoft-copilot-teacher-guide, tablet-ict-jugyo-giga → 各target 200 / generative-ai-guideline-v2-school-",OPEN,"末尾スラッシュ付きの旧 URL が 308（Next の正規化）→ 301（middleware）→ 200 の2ホップになる。",ACCEPTED_NONBLOCKING,LOW,"middleware が張る 301 自体は全10件が1ホップで 200 に着地する（受入ゲートで固定済み）。2ホップ目は Next.js の trailingSlash 正規化によるもので、正規 URL（末尾スラッシュ無し）でのアクセスでは発生しない。sitemap も内部リンクもすべて末尾スラッシュ無しで統一されている",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"config.matcher（33-35行目 `matcher: '/articles/:slug'`）"
L9,Review C,LOW,"「意思の表明が困難な場合に家族・支援者等が本人を補佐して行う表明を含むこと、および表明がない場合にも建設的対話を働きかけることが望ましいとさ","content/articles/special-needs-parent-collaboration.md","special-needs-parent-collaboration","「意思の表明が困難な場合に家族・支援者等が本人を補佐して行う表明を含むこと、および表明がない場合にも建設的対話を働きかけることが望ましいとされる点は、文部科学省の対応指針に示されています」としている。記述内容自体は対応指針にあるが、この段落の直前で引用しているのは行政機関等向けの第7条第2項であり、公立学校の読者に対して事業者向け指針を補足根拠として示す形になっている。同じ内容は内閣府の政府基本方針にもあり、そちらは国公私立を問わず基礎になる。",CLOSED,"parent-collaboration の当該記述を「内閣府の基本方針および各府省の対応指針・対応要領」とし、文科省の対応指針は私立学校等の事業者向けである旨を併記した。",FIX_BEFORE_MERGE,LOW,"H12 と同じ法的主体の誤帰属。公立学校の読者向けに事業者向け指針を無条件の根拠としていた",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"114行目（「なぜ即答を避けるのか」の含意1）"
L10,Review C,LOW,"70行目は「段階的に活用を広げる考え方は、文部科学省の学習者用デジタル教科書に関する資料でも示されています」と、資料名・版・該当箇所を特定せ","content/articles/digital-textbook-introduction-school-changes.md","digital-textbook-introduction-school-changes","70行目は「段階的に活用を広げる考え方は、文部科学省の学習者用デジタル教科書に関する資料でも示されています」と、資料名・版・該当箇所を特定せずに公的資料の裏づけを主張している。152行目は「効果的な活用の在り方に関するガイドライン」を読者に推奨しているが、この文書は ARTICLE_REFERENCES（lib/article-references.ts:335）に登録されておらず、登録されているのは制度ページ（digitalTextbook）と2021年の教材使用告示改正通知（digitalTextbookNotice）の2件のみ。",OPEN,"digital-textbook の資料参照は「本サイトの整理として」とヘッジ済み。152行目のガイドライン言及は参考資料欄に未登録のまま。",ACCEPTED_NONBLOCKING,LOW,"70行目は既に「本サイトの整理として」と主体を明示しており、公的資料の裏づけを騙る記述にはなっていない。152行目は読者に一次資料へ当たることを勧める案内であり、記事の主張を支える引用ではない。参考資料欄には制度の位置づけを支える2件が登録済み",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"70行目（段階2の末尾）／152行目「制度と最新情報をどこで確かめるか」"
L11,Review C,LOW,"本文が読者に薦める一次資料として「生徒指導提要」令和4年改訂版を名指ししているが、ARTICLE_REFERENCES（lib/articl","content/articles/special-needs-behavior-record-guide.md","special-needs-behavior-record-guide","本文が読者に薦める一次資料として「生徒指導提要」令和4年改訂版を名指ししているが、ARTICLE_REFERENCES（lib/article-references.ts:340）は behaviorResearch（NISE 研究）と individualPlan の2件のみで、生徒指導提要が参考資料欄に現れない。",OPEN,"behavior-record が本文で薦める生徒指導提要は参考資料欄に未登録のまま。",ACCEPTED_NONBLOCKING,LOW,"当該記述は「手法に迷ったら公的資料に立ち返る」という読者への案内であり、記事の主張を支える引用ではない。参考資料欄は「記事中の制度・方針・仕様に関する確認に使用した一次資料」を載せる欄なので、案内先を追加すると欄の意味が変わる",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"158行目「手法に迷ったら公的資料に立ち返る」"
L12,Review C,LOW,"「著作権法第35条は『授業の過程における利用』を対象とする規定で、保護者向けの学級通信への掲載は授業目的の範囲を超えます」としている。結論は","content/articles/ai-class-newsletter-prompt.md","ai-class-newsletter-prompt","「著作権法第35条は『授業の過程における利用』を対象とする規定で、保護者向けの学級通信への掲載は授業目的の範囲を超えます」としている。結論はガイドラインVer.2.0本体p.16の記述と一致し正確だが、第35条第1項が平成30年改正で複製に加えて公衆送信まで対象を広げ、その公衆送信について授業目的公衆送信補償金制度（SARTRAS）が置かれていることに触れていない。186行目は学校Webサイトへの掲載を扱っており、読者が「補償金を払っているのだからWeb掲載も第35条の範囲だろう」と誤読しうる位置関係になっている。",CLOSED,"著作権法第35条の説明に、平成30年改正で公衆送信が対象に加わり授業目的公衆送信補償金制度が置かれた旨を補った。結論（学級通信は授業目的の範囲外）は変更なし。",FIX_BEFORE_MERGE,LOW,"条の説明が改正前の内容にとどまっていた",closure re-verification (implementation author, machine-checked) + post-fix independent reviews A-D,"178行目「著作権の確認（この文書に固有の注意点）」"
PA-01,Post-fix Review A,HIGH,"お問い合わせのフォールバックが実装の無いコメント欄を案内","app/contact/page.tsx","","NEXT_PUBLIC_CONTACT_FORM_URL 未設定時のフォールバックが「サイト内各記事のコメント欄等をご利用ください」と案内するが、app/components/lib にコメント機能の実装は0件。About・Operator・EditorialPolicy の3系統が訂正受付をこのページへ誘導しているため、env 未設定だと有効な連絡手段が消える。",VERIFIED_CLOSED,"app/components/lib を grep してコメント実装0件を確認。フォールバック文から存在しない機能への誘導を削除し、フォーム公開後に受け付ける旨へ書き替えた。",FIX_BEFORE_MERGE,HIGH,"存在しない機能への誘導を削除",Post-fix Review A (independent),"L44-48"
PA-02,Post-fix Review A,HIGH,"計画の作成根拠を「保護者との合意」と書き、姉妹記事と矛盾","content/articles/individual-education-plan-writing-guide.md","individual-education-plan-writing-guide","L35 が「学級担任やコーディネーターが中心となり、保護者との合意をもとに作成します」と書く一方、special-needs-parent-collaboration が学校教育法施行規則第134条の2を逐語引用し「条文は意向を踏まえつつであり、同意を得てとは書かれていない」と、まさにその言い方を戒めていた。相互リンクした同一カテゴリの2記事。",VERIFIED_CLOSED,"L35 の当該文を実ファイルで確認（fold して全文照合）。条文の文言に合わせ「本人・保護者の意向を踏まえて作成します」へ修正し、同意が必要になるのは別法令の場面である旨と姉妹記事へのリンクを追加。",FIX_BEFORE_MERGE,HIGH,"条文の文言に合わせ、2記事の指導を一致させた",Post-fix Review A (independent),"L35"
PB-01,Post-fix Review B,HIGH,"記事が定めた必須項目を、記事自身の様式が満たしていない","content/articles/special-needs-behavior-record-guide.md","special-needs-behavior-record-guide","「記録様式に最低限入れる項目」として挙げた7項目のうち3項目（記録者／落ち着いたきっかけ／うまくいった場面）が、同記事が配る ABC シートに欠けていた。記事が冒頭で警告した「困難な場面だけを集める記録」を様式自身が再生産する状態。",VERIFIED_CLOSED,"L56-66 の必須項目リストと L180 のシート列を突き合わせて欠落3件を確認。3欄を追加し、架空記入例も同じ列構成で埋め直した。表の列数ゲートが不整合を検出したため、記入例側も修正して 32 pass。",FIX_BEFORE_MERGE,HIGH,"ABCシートに3欄を追加し記入例も更新",Post-fix Review B (independent),"L54-66 / L180"
